,ID,Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Cluster
36,459106,Male,Yes,62,Yes,0.0,Low,2.0,0
37,459114,Male,Yes,56,Yes,1.0,Average,2.0,2
38,459116,Male,Yes,60,Yes,2.0,Average,5.0,2
39,459117,Male,Yes,68,Yes,0.0,High,2.0,0
40,459118,Male,No,19,No,,Low,8.0,1
41,459119,Male,Yes,57,Yes,8.0,High,3.0,2
42,459120,Male,No,19,No,5.0,Low,5.0,1
43,459121,Female,Yes,51,Yes,3.0,Average,6.0,2
44,459123,Female,Yes,86,No,1.0,High,2.0,0
45,459130,Female,Yes,74,No,1.0,High,2.0,0
46,459132,Male,No,23,No,6.0,Low,2.0,1
47,459136,Male,Yes,47,Yes,0.0,Average,2.0,2
48,459140,Female,No,19,No,7.0,Low,6.0,1
49,459143,Male,Yes,50,No,0.0,High,4.0,2
50,459144,Male,Yes,80,Yes,,High,2.0,0
51,459145,Male,Yes,78,No,,Low,1.0,0
52,459150,Female,No,48,Yes,0.0,Low,1.0,3
53,459160,Male,Yes,70,Yes,1.0,Average,2.0,2
54,459161,Male,Yes,50,Yes,3.0,High,5.0,2
55,459162,Female,Yes,83,Yes,0.0,High,2.0,0
56,459163,Male,No,35,Yes,0.0,Low,1.0,3
57,459167,Female,No,36,Yes,0.0,Low,2.0,3
58,459170,Female,No,35,Yes,1.0,Low,1.0,3
59,459171,Male,Yes,35,Yes,0.0,Average,2.0,2
60,459172,Male,No,18,No,3.0,Low,3.0,1
61,459175,Female,Yes,73,Yes,1.0,Average,2.0,2
62,459181,Male,Yes,62,No,1.0,High,3.0,0
63,459182,Female,Yes,46,Yes,1.0,Average,2.0,2
64,459184,Male,Yes,43,Yes,0.0,Low,4.0,0
65,459185,Female,No,32,Yes,7.0,Low,1.0,3
66,459193,Male,No,39,Yes,0.0,Low,1.0,3
67,459194,Female,Yes,89,Yes,0.0,High,2.0,0
68,459196,Female,No,18,No,0.0,Low,3.0,1
69,459208,Female,Yes,57,Yes,0.0,High,2.0,0
70,459209,Female,No,18,No,0.0,Low,4.0,1
71,459210,Female,Yes,71,Yes,1.0,High,2.0,0
72,459212,Female,Yes,69,Yes,0.0,Average,2.0,2
73,459213,Female,No,42,Yes,0.0,Low,4.0,3
74,459216,Female,No,36,Yes,0.0,Low,2.0,3
75,459220,Female,Yes,80,Yes,1.0,High,2.0,0
76,459221,Male,Yes,69,No,,Low,1.0,0
77,459222,Female,Yes,67,Yes,0.0,Average,3.0,2
78,459223,Female,Yes,47,Yes,1.0,Average,4.0,2
79,459224,Female,Yes,49,Yes,0.0,Average,2.0,2
80,459227,Female,Yes,32,No,9.0,Low,4.0,1
81,459229,Female,Yes,65,Yes,1.0,Average,4.0,2
82,459236,Female,Yes,78,No,0.0,High,2.0,0
83,459237,Male,No,33,Yes,1.0,Low,6.0,1
84,459244,Male,Yes,48,Yes,1.0,Low,1.0,0
85,459247,Male,Yes,58,Yes,1.0,Average,5.0,2
86,459258,Female,Yes,83,Yes,1.0,High,,0
87,459263,Female,No,30,No,9.0,Low,4.0,1
88,459264,Female,No,35,Yes,0.0,Low,2.0,3
89,459266,Male,No,32,Yes,6.0,Low,5.0,3
90,459270,Male,Yes,69,Yes,1.0,High,2.0,0
91,459284,Female,Yes,71,Yes,1.0,High,2.0,0
92,459287,Male,No,43,Yes,0.0,Low,1.0,3
93,459288,Male,Yes,37,Yes,0.0,Low,2.0,0
94,459289,Male,No,42,Yes,0.0,Low,1.0,3
95,459290,Female,Yes,70,Yes,1.0,Average,2.0,2
96,459292,Male,No,46,Yes,0.0,Low,2.0,3
97,459293,Male,No,21,No,,Low,,1
98,459296,Male,Yes,70,Yes,0.0,Average,2.0,2
99,459300,Female,Yes,61,Yes,1.0,Low,,0
100,459307,Male,Yes,60,Yes,1.0,Low,1.0,0
101,459310,Male,No,37,Yes,0.0,Low,2.0,3
102,459316,Male,Yes,30,Yes,1.0,Low,2.0,0
103,459318,Female,No,32,Yes,1.0,Low,3.0,3
104,459320,Male,Yes,26,Yes,0.0,Low,3.0,0
105,459322,Male,No,42,Yes,0.0,Low,1.0,3
106,459323,Female,No,18,No,,Low,,1
107,459338,Male,Yes,80,No,,Low,,0
108,459339,Male,Yes,29,Yes,8.0,High,2.0,2
109,459344,Female,Yes,88,Yes,1.0,High,2.0,0
110,459347,Male,Yes,70,Yes,1.0,Low,1.0,0
111,459349,Female,Yes,50,Yes,1.0,High,4.0,2
112,459352,Male,Yes,43,Yes,4.0,Average,4.0,2
113,459353,Male,Yes,51,Yes,6.0,Average,2.0,2
114,459354,Female,Yes,50,Yes,,High,3.0,2
115,459355,Female,Yes,74,No,,Low,1.0,0
116,459360,Female,No,29,Yes,,Low,3.0,3
117,459361,Female,No,32,Yes,,Low,2.0,3
118,459362,Male,Yes,60,No,0.0,Low,2.0,0
119,459363,Male,No,46,Yes,2.0,Low,1.0,3
120,459364,Female,Yes,81,Yes,0.0,Low,2.0,0
121,459369,Male,Yes,41,No,,Average,7.0,2
122,459375,Male,Yes,22,No,0.0,High,4.0,1
123,459377,Male,Yes,37,Yes,0.0,Average,3.0,2
124,459383,Male,Yes,43,No,0.0,Low,1.0,0
125,459384,Male,Yes,50,Yes,1.0,Average,3.0,2
126,459385,Female,Yes,35,Yes,1.0,Average,2.0,2
127,459386,Male,Yes,65,No,1.0,High,2.0,0
128,459391,Female,No,41,Yes,0.0,Low,4.0,3
129,459394,Male,No,28,No,8.0,Low,2.0,3
130,459397,Male,Yes,55,Yes,4.0,Average,2.0,2
131,459398,Female,Yes,58,No,,High,2.0,0
132,459401,Male,No,28,No,1.0,Low,3.0,1
133,459403,Male,Yes,48,Yes,,Average,4.0,2
134,459405,Female,Yes,78,No,1.0,High,2.0,0
135,459407,Female,No,35,Yes,1.0,Low,3.0,3
136,459409,Female,Yes,76,Yes,0.0,High,2.0,0
137,459410,Female,Yes,88,Yes,1.0,High,2.0,0
138,459412,Male,Yes,61,Yes,1.0,Average,3.0,2
139,459413,Female,Yes,79,Yes,,High,2.0,0
140,459415,Male,No,30,No,0.0,Low,4.0,1
141,459418,Male,Yes,69,No,0.0,High,2.0,0
142,459419,Male,Yes,65,Yes,1.0,Average,2.0,2
143,459420,Female,Yes,70,Yes,1.0,Low,2.0,0
144,459421,Male,Yes,32,No,0.0,Average,4.0,2
145,459422,Male,Yes,46,Yes,,Low,4.0,0
146,459423,Male,No,21,No,8.0,Low,5.0,1
147,459424,Male,Yes,47,Yes,,Low,3.0,0
148,459428,Female,No,39,No,0.0,Low,2.0,1
149,459432,Male,Yes,85,Yes,0.0,Low,3.0,0
150,459436,Female,No,66,Yes,0.0,Low,2.0,3
151,459439,Female,Yes,50,Yes,1.0,Average,2.0,2
152,459445,Female,Yes,42,Yes,0.0,Average,3.0,2
153,459447,Male,Yes,53,Yes,9.0,Low,1.0,0
154,459449,Male,Yes,37,Yes,,Low,2.0,0
155,459451,Female,Yes,45,Yes,1.0,Low,2.0,0
156,459456,Female,No,66,No,,Low,1.0,3
157,459458,Male,No,33,No,,Low,,1
158,459459,Male,Yes,40,Yes,4.0,Low,1.0,0
159,459461,Female,Yes,35,Yes,1.0,Low,1.0,3
160,459464,Male,No,27,Yes,,Low,2.0,3
161,459466,Female,Yes,48,Yes,0.0,Average,3.0,2
162,459467,Female,Yes,56,Yes,0.0,Average,2.0,2
163,459469,Male,Yes,25,Yes,,Low,6.0,1
164,459471,Female,No,30,No,,Low,8.0,1
165,459480,Female,Yes,46,Yes,7.0,Low,3.0,3
166,459481,Male,Yes,49,No,0.0,Low,2.0,0
167,459482,Male,Yes,72,No,1.0,Low,4.0,0
168,459485,Female,Yes,79,Yes,,High,2.0,0
169,459496,Female,No,35,Yes,,Low,3.0,3
170,459497,Female,Yes,77,Yes,0.0,Low,1.0,0
171,459499,Female,Yes,79,No,,High,2.0,0
172,459503,Male,Yes,42,Yes,6.0,High,4.0,2
173,459505,Female,No,42,Yes,,Low,1.0,3
174,459507,Male,Yes,67,No,,High,2.0,0
175,459509,Male,No,26,Yes,1.0,Low,1.0,3
176,459512,Male,Yes,67,Yes,1.0,High,2.0,0
177,459515,Male,Yes,55,Yes,1.0,Low,1.0,0
178,459516,Female,,56,Yes,,Average,2.0,2
179,459518,Male,Yes,63,,,Average,4.0,2
180,459535,Male,Yes,46,Yes,8.0,Average,2.0,2
181,459536,Male,Yes,32,Yes,7.0,Low,2.0,3
182,459538,Female,No,49,Yes,13.0,Low,1.0,3
183,459541,Male,Yes,59,Yes,1.0,High,2.0,0
184,459549,Male,No,22,No,8.0,Low,5.0,1
185,459555,Female,No,28,Yes,8.0,Low,1.0,3
186,459558,Male,No,28,Yes,1.0,Low,3.0,3
187,459564,Male,Yes,75,Yes,2.0,Low,1.0,0
188,459566,Female,Yes,37,Yes,13.0,Low,2.0,3
189,459567,Male,Yes,50,Yes,0.0,Average,2.0,2
190,459571,Female,Yes,50,Yes,1.0,High,4.0,2
191,459576,Female,Yes,88,No,,Low,,0
192,459579,Female,Yes,35,Yes,3.0,Average,5.0,2
193,459581,Female,No,35,No,,Low,,1
194,459582,Male,Yes,31,No,,Average,3.0,2
195,459583,Male,Yes,46,Yes,0.0,Low,1.0,0
196,459585,Female,Yes,50,Yes,1.0,Average,4.0,2
197,459587,Female,No,33,Yes,7.0,Low,3.0,3
198,459588,Male,Yes,49,Yes,0.0,Low,1.0,0
199,459591,Male,Yes,52,Yes,1.0,Average,3.0,2
200,459592,Male,No,25,No,0.0,Low,3.0,1
201,459594,Female,Yes,41,Yes,6.0,Low,1.0,3
202,459597,Female,Yes,68,Yes,0.0,High,2.0,0
203,459603,Female,Yes,79,No,2.0,High,2.0,0
204,459607,Male,Yes,40,Yes,5.0,Average,5.0,2
205,459608,Female,No,62,Yes,,Low,1.0,3
206,459612,Male,No,21,No,,Low,2.0,1
207,459616,Female,No,20,No,,Low,4.0,1
208,459617,Male,No,28,Yes,1.0,Low,5.0,1
209,459618,Male,Yes,57,Yes,0.0,Average,2.0,2
210,459621,Female,No,25,No,8.0,Low,,3
211,459625,Female,Yes,63,No,8.0,Low,1.0,0
212,459626,Female,Yes,26,No,1.0,Low,3.0,1
213,459632,Female,Yes,50,No,0.0,High,3.0,2
214,459644,Female,No,30,No,9.0,Low,4.0,1
215,459652,Female,No,26,No,,Low,4.0,1
216,459658,Male,Yes,61,Yes,1.0,Average,3.0,2
217,459664,Male,No,42,Yes,3.0,Low,1.0,3
218,459665,Male,Yes,88,Yes,4.0,Low,2.0,0
219,459672,Male,Yes,45,No,3.0,Average,3.0,2
220,459673,Female,Yes,86,Yes,1.0,Low,1.0,0
221,459678,Male,No,18,No,1.0,Low,5.0,1
222,459680,Male,No,37,Yes,,Low,1.0,3
223,459686,Male,Yes,46,Yes,1.0,Low,1.0,0
224,459691,Male,Yes,58,No,,Average,2.0,2
225,459692,Female,Yes,72,Yes,8.0,High,2.0,0
226,459693,Female,Yes,50,Yes,0.0,High,3.0,2
227,459699,Female,,56,Yes,8.0,Average,3.0,2
228,459701,Male,No,46,No,3.0,Low,3.0,1
229,459710,Male,Yes,57,Yes,,Low,1.0,0
230,459711,Male,Yes,42,No,9.0,High,6.0,2
231,459712,Male,No,20,No,,Low,4.0,1
232,459713,Male,No,19,No,,Low,3.0,1
233,459715,Male,No,19,No,4.0,Low,4.0,1
234,459718,Male,Yes,68,Yes,1.0,Low,1.0,0
235,459725,Female,Yes,40,Yes,0.0,Low,2.0,0
236,459727,Male,Yes,82,No,,High,2.0,0
237,459740,Female,No,23,No,1.0,Low,3.0,1
238,459742,Female,Yes,84,No,1.0,High,2.0,0
239,459745,Male,Yes,51,No,0.0,Low,4.0,0
240,459746,Male,,59,Yes,1.0,Average,2.0,2
241,459747,Female,Yes,41,Yes,1.0,Average,5.0,2
242,459748,Male,Yes,51,No,1.0,High,2.0,0
243,459755,Female,Yes,62,No,,Average,3.0,2
244,459756,Female,Yes,62,No,1.0,High,4.0,2
245,459760,Female,Yes,38,Yes,8.0,Low,1.0,3
246,459763,Male,No,18,No,,Low,4.0,1
247,459767,Male,No,22,No,3.0,Low,4.0,1
248,459771,Female,,30,Yes,0.0,Low,3.0,3
249,459779,Female,Yes,62,Yes,1.0,Low,1.0,0
250,459780,Female,No,43,No,1.0,Low,3.0,1
251,459785,Female,No,32,Yes,,Low,1.0,3
252,459793,Male,Yes,37,Yes,1.0,High,,2
253,459795,Male,No,48,Yes,1.0,Low,1.0,3
254,459801,Female,No,31,Yes,4.0,Low,2.0,3
255,459804,Male,Yes,46,No,4.0,High,4.0,2
256,459806,Female,Yes,49,No,1.0,Average,4.0,2
257,459808,Male,Yes,43,No,,Average,4.0,2
258,459815,Male,No,42,Yes,8.0,Low,1.0,3
259,459816,Male,Yes,37,Yes,,Low,2.0,0
260,459819,Male,Yes,72,Yes,,High,2.0,0
261,459821,Male,,71,No,,High,1.0,0
262,459822,Female,No,39,Yes,1.0,Low,1.0,3
263,459825,Male,No,20,No,0.0,Low,5.0,1
264,459827,Female,No,26,No,,Low,1.0,3
265,459832,Male,Yes,72,Yes,1.0,Low,1.0,0
266,459845,Male,Yes,70,Yes,0.0,Low,1.0,0
267,459851,Male,No,45,Yes,2.0,Low,1.0,3
268,459853,Male,No,33,No,7.0,Low,5.0,1
269,459856,Male,Yes,50,No,0.0,Average,3.0,2
270,459857,Male,No,31,Yes,6.0,Low,1.0,3
271,459861,Female,Yes,74,No,1.0,High,2.0,0
272,459864,Female,Yes,68,No,,High,2.0,0
273,459866,Female,No,49,Yes,,Low,1.0,3
274,459867,Male,Yes,49,Yes,0.0,High,2.0,0
275,459869,Female,No,18,No,1.0,Low,3.0,1
276,459871,Female,Yes,85,No,2.0,Average,2.0,0
277,459885,Female,No,38,Yes,,Low,4.0,3
278,459886,Male,Yes,28,No,0.0,Low,4.0,1
279,459887,Male,Yes,46,No,3.0,Average,2.0,2
280,459889,Male,Yes,59,Yes,9.0,Average,3.0,2
281,459897,Female,Yes,56,Yes,0.0,Low,2.0,0
282,459909,Male,Yes,69,Yes,0.0,Low,1.0,0
283,459910,Male,Yes,66,Yes,0.0,Low,2.0,0
284,459911,Male,No,18,No,4.0,Low,6.0,1
285,459914,Male,No,36,Yes,4.0,Low,1.0,3
286,459923,Male,No,31,Yes,1.0,Low,2.0,3
287,459925,Male,Yes,67,No,1.0,High,2.0,0
288,459937,Female,No,39,Yes,7.0,Low,1.0,3
289,459943,Male,No,42,Yes,4.0,Low,3.0,3
290,459945,Male,Yes,50,Yes,0.0,Low,2.0,0
291,459946,Female,Yes,37,Yes,0.0,Average,2.0,2
292,459949,Female,No,59,Yes,0.0,Low,1.0,3
293,459953,Male,Yes,50,Yes,8.0,Low,2.0,0
294,459961,Male,Yes,48,Yes,8.0,Low,3.0,0
295,459962,Male,Yes,55,Yes,9.0,Low,1.0,0
296,459966,Female,No,33,Yes,1.0,Low,3.0,3
297,459968,Male,No,38,Yes,13.0,Low,1.0,3
298,459970,Male,No,43,Yes,0.0,Low,2.0,3
299,459973,Female,No,53,Yes,0.0,Low,2.0,3
300,459974,Male,No,37,Yes,0.0,Low,1.0,3
301,459975,Female,No,36,Yes,5.0,Low,1.0,3
302,459981,Male,No,36,Yes,5.0,Low,1.0,3
303,459986,Male,Yes,62,Yes,1.0,Low,1.0,0
304,459995,Female,No,38,No,2.0,Low,2.0,3
305,459996,Male,No,55,Yes,1.0,Low,1.0,3
306,459998,Male,Yes,60,No,1.0,Average,2.0,2
307,460004,Female,Yes,36,Yes,7.0,Average,2.0,2
308,460006,Male,No,30,No,5.0,Low,9.0,1
309,460014,Female,No,66,No,4.0,Low,3.0,3
310,460023,Male,Yes,45,Yes,1.0,Low,1.0,0
311,460027,Female,No,40,Yes,6.0,Low,,3
312,460033,Female,,45,Yes,5.0,Low,3.0,3
313,460036,Male,Yes,41,Yes,2.0,Low,1.0,0
314,460040,Female,Yes,62,Yes,4.0,Low,1.0,0
315,460045,Male,Yes,61,Yes,1.0,Low,2.0,0
316,460046,Female,Yes,50,Yes,4.0,Low,2.0,0
317,460050,Male,Yes,53,Yes,3.0,Low,2.0,0
318,460051,Male,No,39,Yes,7.0,Low,1.0,3
319,460052,Female,No,86,Yes,0.0,Low,1.0,0
320,460058,Male,Yes,50,Yes,1.0,Low,1.0,0
321,460059,Female,No,46,No,4.0,Low,,3
322,460061,Male,No,52,Yes,0.0,Low,1.0,3
323,460066,Female,No,45,No,0.0,Low,1.0,3
324,460068,Female,No,37,Yes,9.0,Low,1.0,3
325,460073,Female,Yes,36,Yes,3.0,Low,1.0,3
326,460075,Female,No,25,Yes,,Low,1.0,3
327,460079,Female,No,40,No,1.0,Low,1.0,3
328,460081,Male,Yes,41,Yes,11.0,High,2.0,2
329,460088,Female,Yes,25,Yes,,High,2.0,2
330,460090,Male,Yes,80,No,4.0,Average,2.0,2
331,460093,Female,No,46,Yes,3.0,Low,1.0,3
332,460095,Female,Yes,81,Yes,1.0,Low,1.0,0
333,460097,Male,,40,Yes,0.0,Low,2.0,0
334,460099,Male,No,49,Yes,1.0,Low,1.0,3
335,460101,Female,No,26,Yes,8.0,Low,3.0,3
336,460103,Male,No,26,Yes,1.0,Low,1.0,3
337,460105,Female,No,47,Yes,0.0,Low,1.0,3
338,460106,Female,Yes,71,Yes,0.0,Low,,0
339,460107,Male,Yes,48,Yes,1.0,Average,5.0,2
340,460108,Male,Yes,39,Yes,1.0,Average,3.0,2
341,460109,Male,Yes,50,Yes,8.0,Average,2.0,2
342,460110,Female,No,46,Yes,1.0,Low,2.0,3
343,460112,Male,Yes,26,Yes,8.0,Average,2.0,2
344,460116,Female,Yes,42,Yes,1.0,Low,2.0,0
345,460118,Female,Yes,36,Yes,4.0,Low,2.0,3
346,460119,Male,No,29,Yes,1.0,Low,4.0,1
347,460122,Female,No,39,No,1.0,Low,1.0,3
348,460124,Female,No,41,Yes,0.0,Low,3.0,3
349,460126,Female,Yes,48,Yes,8.0,Low,,3
350,460134,Male,Yes,40,Yes,9.0,High,3.0,2
351,460135,Female,No,25,Yes,4.0,Low,3.0,3
352,460140,Female,Yes,41,Yes,7.0,Low,2.0,3
353,460141,Male,No,37,Yes,11.0,Low,1.0,3
354,460144,Female,No,53,Yes,0.0,Low,,3
355,460146,Female,Yes,51,Yes,0.0,Average,3.0,2
356,460147,Male,Yes,73,Yes,1.0,Average,3.0,2
357,460157,Male,Yes,61,No,1.0,Low,5.0,0
358,460160,Male,No,39,Yes,5.0,Low,1.0,3
359,460162,Female,No,19,No,0.0,Low,4.0,1
360,460166,Female,No,19,No,0.0,Low,7.0,1
361,460167,Female,No,23,No,1.0,Low,5.0,1
362,460168,Male,Yes,83,Yes,0.0,High,2.0,0
363,460171,Female,Yes,62,Yes,1.0,High,2.0,0
364,460174,Female,No,43,Yes,9.0,Low,4.0,3
365,460175,Female,No,27,No,0.0,Low,5.0,1
366,460177,Male,No,50,Yes,0.0,Low,1.0,3
367,460179,Female,No,23,No,0.0,Low,6.0,1
368,460183,Male,No,35,No,9.0,Low,2.0,3
369,460185,Male,No,32,No,9.0,Low,3.0,1
370,460187,Female,No,42,Yes,2.0,Low,3.0,3
371,460189,Male,No,33,No,13.0,Low,1.0,3
372,460190,Female,No,28,Yes,9.0,Low,3.0,3
373,460192,Male,Yes,35,Yes,1.0,Low,2.0,0
374,460196,Female,No,35,Yes,9.0,Low,2.0,3
375,460206,Female,Yes,39,Yes,0.0,Low,2.0,0
376,460211,Male,Yes,28,,6.0,Low,1.0,3
377,460212,Male,Yes,35,Yes,11.0,Low,6.0,3
378,460214,Female,Yes,45,Yes,0.0,Average,2.0,2
379,460222,Female,,73,Yes,4.0,High,,0
380,460223,Male,No,52,No,1.0,Low,1.0,3
381,460227,Male,No,28,No,0.0,Low,3.0,1
382,460242,Male,Yes,38,Yes,9.0,Low,3.0,3
383,460243,Female,No,42,Yes,8.0,Low,1.0,3
384,460247,Female,No,26,No,9.0,Low,,3
385,460248,Female,No,27,Yes,7.0,Low,2.0,3
386,460252,Male,Yes,41,Yes,0.0,Low,2.0,0
387,460263,Male,Yes,41,Yes,1.0,Low,2.0,0
388,460265,Male,Yes,47,Yes,0.0,High,4.0,2
389,460270,Male,No,35,Yes,8.0,Low,1.0,3
390,460272,Female,No,88,Yes,0.0,Low,1.0,0
391,460275,Female,No,46,Yes,6.0,Low,1.0,3
392,460276,Female,Yes,41,Yes,3.0,Low,2.0,3
393,460281,Female,No,30,Yes,10.0,Low,5.0,3
394,460283,Male,Yes,43,Yes,12.0,Low,2.0,3
395,460284,Female,No,29,Yes,9.0,Low,2.0,3
396,460287,Male,Yes,48,Yes,1.0,Low,1.0,0
397,460289,Female,Yes,61,Yes,4.0,Average,6.0,2
398,460298,Female,No,51,Yes,2.0,Low,1.0,3
399,460303,Female,No,38,Yes,2.0,Low,1.0,3
400,460305,Female,,49,Yes,0.0,High,1.0,0
401,460306,Female,No,43,Yes,9.0,Low,1.0,3
402,460310,Male,No,27,No,14.0,Low,4.0,1
403,460315,Female,No,35,No,14.0,Low,6.0,1
404,460319,Female,Yes,39,No,4.0,Average,2.0,2
405,460322,Female,Yes,52,No,9.0,Low,,3
406,460323,Female,No,38,Yes,10.0,Low,1.0,3
407,460324,Female,No,30,Yes,12.0,Low,2.0,3
408,460327,Female,No,43,Yes,10.0,Low,1.0,3
409,460333,Female,No,42,No,10.0,Low,4.0,3
410,460336,Female,No,46,Yes,2.0,Low,1.0,3
411,460340,Female,No,47,Yes,11.0,Low,2.0,3
412,460341,Female,No,32,No,13.0,Low,5.0,1
413,460344,Female,Yes,53,Yes,11.0,Average,2.0,2
414,460346,Female,Yes,43,Yes,12.0,Average,,2
415,460348,Female,No,39,Yes,0.0,Low,2.0,3
416,460349,Male,,42,Yes,3.0,Average,2.0,2
417,460354,Female,No,37,Yes,3.0,Low,1.0,3
418,460356,Male,No,19,No,0.0,Low,4.0,1
419,460358,Male,No,30,No,1.0,Low,1.0,1
420,460361,Female,Yes,49,Yes,0.0,Low,1.0,0
421,460362,Male,Yes,55,Yes,0.0,Low,3.0,0
422,460365,Female,Yes,59,Yes,1.0,Low,2.0,0
423,460369,Female,Yes,46,Yes,,Low,2.0,0
424,460370,Female,Yes,27,Yes,9.0,High,2.0,3
425,460371,Female,No,25,Yes,1.0,Low,2.0,3
426,460378,Female,No,37,Yes,1.0,Low,1.0,3
427,460379,Male,No,38,Yes,9.0,Low,3.0,3
428,460380,Male,No,29,Yes,9.0,Low,3.0,3
429,460381,Male,No,28,Yes,11.0,Low,2.0,3
430,460384,Female,Yes,27,Yes,8.0,Low,2.0,3
431,460387,Female,No,42,No,3.0,Low,2.0,3
432,460388,Female,No,43,Yes,14.0,Low,2.0,3
433,460389,Female,Yes,40,Yes,8.0,Average,2.0,2
434,460390,Male,No,41,Yes,9.0,Low,3.0,3
435,460392,Male,Yes,46,No,8.0,Low,1.0,0
436,460394,Female,No,32,Yes,9.0,Low,3.0,3
437,460397,Female,No,56,Yes,1.0,Low,1.0,3
438,460399,Male,No,28,Yes,12.0,Low,1.0,3
439,460401,Female,No,25,Yes,0.0,Low,3.0,3
440,460404,Male,Yes,42,Yes,6.0,Low,7.0,2
441,460405,Female,No,41,Yes,5.0,Low,2.0,3
442,460406,Male,Yes,36,Yes,3.0,Low,2.0,0
443,460408,Female,No,42,Yes,2.0,Low,1.0,3
444,460409,Female,No,42,Yes,8.0,Low,4.0,3
445,460415,Female,No,55,Yes,1.0,Low,2.0,3
446,460422,Male,Yes,52,Yes,1.0,High,,0
447,460431,Female,No,47,Yes,1.0,Low,1.0,3
448,460434,Male,,57,Yes,2.0,High,3.0,0
449,460437,Female,No,26,Yes,8.0,Low,1.0,3
450,460440,Female,No,28,No,5.0,Low,2.0,3
451,460443,Female,No,37,Yes,0.0,Low,1.0,3
452,460447,Male,,89,No,0.0,Low,1.0,0
453,460449,Male,No,25,No,2.0,Low,1.0,1
454,460450,Male,Yes,50,Yes,1.0,High,4.0,2
455,460453,Female,No,42,Yes,5.0,Low,1.0,3
456,460454,Male,No,48,Yes,,Low,1.0,3
457,460457,Female,No,37,Yes,9.0,Low,,3
458,460459,Female,No,30,No,1.0,Low,5.0,1
459,460460,Male,Yes,26,No,2.0,Low,4.0,1
460,460467,Female,Yes,47,Yes,,Average,2.0,2
461,460470,Male,No,36,No,,Low,4.0,1
462,460476,Male,Yes,53,No,,Average,4.0,2
463,460477,Male,No,30,No,1.0,Low,6.0,1
464,460484,Female,No,20,No,4.0,Low,7.0,1
465,460485,Female,No,19,No,8.0,Low,5.0,1
466,460489,Male,No,19,No,9.0,Low,6.0,1
467,460492,Female,No,37,No,12.0,Low,,3
468,460495,Male,No,20,No,0.0,Low,6.0,1
469,460504,Male,,39,No,,Average,3.0,2
470,460505,Female,No,26,Yes,1.0,Low,3.0,3
471,460507,Male,No,31,No,0.0,Low,4.0,1
472,460508,Male,Yes,31,Yes,2.0,High,3.0,2
473,460518,Female,Yes,41,Yes,9.0,Average,3.0,2
474,460522,Female,Yes,32,No,,Average,2.0,2
475,460541,Female,Yes,42,Yes,0.0,Average,3.0,2
476,460542,Female,Yes,89,No,1.0,Low,,0
477,460545,Male,Yes,78,No,1.0,High,3.0,0
478,460546,Female,Yes,65,Yes,1.0,Low,2.0,0
479,460547,Female,Yes,48,Yes,0.0,Average,,2
480,460549,Male,No,36,Yes,8.0,Low,2.0,3
481,460550,Female,Yes,55,Yes,0.0,Average,4.0,2
482,460551,Male,Yes,52,Yes,0.0,Average,2.0,2
483,460555,Male,Yes,52,Yes,7.0,Average,3.0,2
